parent_name,parent_id,parent_city,language,entity_type
MOZAMBIQUE TELECOM,MZ*190521667682,MZ,pt,company
IMOC EMPREENDIMENTOS IMOBILIARIOS SARL,MZ*918030374,MZ,pt,company
MOZAMBIQUE,MZ*J00S5408,MZ,pt,government
INSTITUTO DE GESTAO DAS PARTICIPACOES DO ESTADO,MZ100002073,MZ,pt,government
"MOCAMBIQUE CAPITAIS, SA",MZ100018825,MZ,pt,company
PORTUS INDICO-SOCIEDADE DE SERVICOS PORTUARIOS SA,MZ2-16498,MZ,pt,company
"EMPRESA NACIONAL DE HIDROCARBONETOS, EP",MZ2-182860,MZ,pt,company
"MOÇAMBIQUE TERRAMAR TRADING, LDA",MZNIF980450446,MZ,pt,company
CHAUQUE MINGARDA MANUEL FRANCISCO,MZPPCHQMGR81A71Z333C,MZ,pt,individual
